osm_id,current_name,current_category,longitude,latitude,candidate_number,candidate_display_name,confidence,evidence,confirmed_number,confirmed_display_name,aliases,status,notes
osm:way:223859829,1,DORMITORY,118.9286121,32.1112360,1,1号楼,HIGH,OSM source name begins with the explicit number 1; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859832,2,DORMITORY,118.9289180,32.1114938,2,2号楼,HIGH,OSM source name begins with the explicit number 2; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859798,3,DORMITORY,118.9283086,32.1114976,3,3号楼,HIGH,OSM source name begins with the explicit number 3; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859801,4,DORMITORY,118.9288915,32.1117518,4,4号楼,HIGH,OSM source name begins with the explicit number 4; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859824,5,DORMITORY,118.9283061,32.1117613,5,5号楼,HIGH,OSM source name begins with the explicit number 5; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859792,6,DORMITORY,118.9285835,32.1120006,6,6号楼,HIGH,OSM source name begins with the explicit number 6; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859797,7,DORMITORY,118.9284709,32.1123987,7,7号楼,HIGH,OSM source name begins with the explicit number 7; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859809,8,DORMITORY,118.9288609,32.1126812,8,8号楼,HIGH,OSM source name begins with the explicit number 8; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859794,9,DORMITORY,118.9281665,32.1126953,9,9号楼,HIGH,OSM source name begins with the explicit number 9; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859787,10,DORMITORY,118.9288602,32.1129434,10,10号楼,HIGH,OSM source name begins with the explicit number 10; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859813,11,DORMITORY,118.9281645,32.1129486,11,11号楼,HIGH,OSM source name begins with the explicit number 11; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859786,12,DORMITORY,118.9284791,32.1131984,12,12号楼,HIGH,OSM source name begins with the explicit number 12; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859815,13,DORMITORY,118.9288362,32.1136033,13,13号楼,HIGH,OSM source name begins with the explicit number 13; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859816,14,DORMITORY,118.9288640,32.1139625,14,14号楼,HIGH,OSM source name begins with the explicit number 14; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859796,15,DORMITORY,118.9289078,32.1143123,15,15号楼,HIGH,OSM source name begins with the explicit number 15; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859843,16,DORMITORY,118.9287343,32.1146955,16,16号楼,HIGH,OSM source name begins with the explicit number 16; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859791,17,DORMITORY,118.9291827,32.1149854,17,17号楼,HIGH,OSM source name begins with the explicit number 17; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859840,18,DORMITORY,118.9284859,32.1149920,18,18号楼,HIGH,OSM source name begins with the explicit number 18; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859783,19,DORMITORY,118.9292493,32.1152699,19,19号楼,HIGH,OSM source name begins with the explicit number 19; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859790,20,DORMITORY,118.9285591,32.1152772,20,20号楼,HIGH,OSM source name begins with the explicit number 20; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:223859846,21 国防生楼,DORMITORY,118.9289993,32.1155654,21,21号楼,HIGH,OSM source name begins with the explicit number 21; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198908,22,DORMITORY,118.9288941,32.1183738,22,22号楼,HIGH,OSM source name begins with the explicit number 22; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198909,23,DORMITORY,118.9283157,32.1184177,23,23号楼,HIGH,OSM source name begins with the explicit number 23; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198910,24,DORMITORY,118.9289341,32.1187238,24,24号楼,HIGH,OSM source name begins with the explicit number 24; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198911,25,DORMITORY,118.9281319,32.1186125,25,25号楼,HIGH,OSM source name begins with the explicit number 25; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198912,26,DORMITORY,118.9287703,32.1189273,26,26号楼,HIGH,OSM source name begins with the explicit number 26; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225198913,27,DORMITORY,118.9283486,32.1189935,27,27号楼,HIGH,OSM source name begins with the explicit number 27; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242507,28,DORMITORY,118.9299286,32.1188768,28,28号楼,HIGH,OSM source name begins with the explicit number 28; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242509,29,DORMITORY,118.9296007,32.1190429,29,29号楼,HIGH,OSM source name begins with the explicit number 29; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242511,30,DORMITORY,118.9300700,32.1192963,30,30号楼,HIGH,OSM source name begins with the explicit number 30; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242513,31,DORMITORY,118.9294479,32.1192605,31,31号楼,HIGH,OSM source name begins with the explicit number 31; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242515,32,DORMITORY,118.9299594,32.1194988,32,32号楼,HIGH,OSM source name begins with the explicit number 32; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225242517,33,DORMITORY,118.9295757,32.1195986,33,33号楼,HIGH,OSM source name begins with the explicit number 33; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225250615,34,DORMITORY,118.9294702,32.1199285,34,34号楼,HIGH,OSM source name begins with the explicit number 34; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
osm:way:225251648,35,DORMITORY,118.9288897,32.1200496,35,35号楼,HIGH,OSM source name begins with the explicit number 35; no spatial-order inference used,,,,NEEDS_MANUAL_CONFIRMATION,Engineering matching confidence only; not a factual verification.
