zone_name,building_osm_id,building_number,candidate_zone,candidate_confidence,source,confirmed_zone,verification_status,notes
梅苑,osm:way:223859829,1,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
梅苑,osm:way:223859832,2,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
梅苑,osm:way:223859798,3,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
梅苑,osm:way:223859801,4,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
梅苑,osm:way:223859824,5,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
梅苑,osm:way:223859792,6,梅苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859797,7,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859809,8,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859794,9,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859787,10,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859813,11,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
兰苑,osm:way:223859786,12,兰苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
竹苑,osm:way:223859815,13,竹苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
竹苑,osm:way:223859816,14,竹苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
竹苑,osm:way:223859796,15,竹苑,HIGH,https://www.njupt.edu.cn/_upload/article/images/eb/1f/e323ae9b457181e6874b1fc47842/d70d14a3-62d5-450d-9ec4-ae0ca836dc8c.jpg,,SOURCE_VERIFIED,"Official campus map number/zone match; label semantics only, not a zone boundary."
