object_id,object_type,current_name,confirmed_name,status,entrance_lat,entrance_lon,walking_access,cycling_access,accessible,notes
osm:way:223859811,BUILDING,行政楼办公楼,,,,,,,,
osm:way:223859826,BUILDING,行政楼办公楼,,,,,,,,
osm:way:223699451,BUILDING,教1,,,,,,,,
osm:way:223859784,BUILDING,南邮仙林二食堂,,,,,,,,
osm:way:224950590,BUILDING,圆楼,,,,,,,,
osm:way:1390009974,BUILDING,南邮仙林一食堂,,,,,,,,
osm:way:155434036,BUILDING,教3,,,,,,,,
osm:way:223699452,BUILDING,教4,,,,,,,,
osm:way:223699454,BUILDING,教5,,,,,,,,
osm:way:223699456,BUILDING,教2,,,,,,,,
osm:way:223859810,BUILDING,图书馆,,,,,,,,
osm:way:1390009973,BUILDING,南邮仙林一食堂,,,,,,,,
osm:way:1390009975,BUILDING,南邮仙林一食堂,,,,,,,,
osm:way:223944205,BUILDING,青春剧场,,,,,,,,
osm:way:223944209,BUILDING,大学生活动中心,,,,,,,,
osm:way:1281082570,BUILDING,新体育馆,,,,,,,,
osm:way:223859852,BUILDING,收发室,,,,,,,,
osm:way:224896131,BUILDING,南邮仙林三食堂,,,,,,,,
osm:node:2340727810,POI,南邮仙林四食堂,,,,,,,,
osm:way:223859811:poi,POI,行政楼办公楼,,,,,,,,
osm:way:223859826:poi,POI,行政楼办公楼,,,,,,,,
osm:way:223859784:poi,POI,南邮仙林二食堂,,,,,,,,
osm:way:224950590:poi,POI,圆楼,,,,,,,,
osm:way:1173057051:poi,POI,自动化学院、人工智能学院,,,,,,,,
osm:way:1390009974:poi,POI,南邮仙林一食堂,,,,,,,,
osm:way:223859810:poi,POI,图书馆,,,,,,,,
osm:way:1173057050:poi,POI,电子与光学工程学院、柔性材料（未来技术）学院,,,,,,,,
osm:way:1173057052:poi,POI,地理与生物信息学院,,,,,,,,
osm:way:1173057053:poi,POI,集成电路科学与工程学院,,,,,,,,
osm:way:1173057054:poi,POI,工程实验教学部,,,,,,,,
osm:way:1173057055:poi,POI,计算机学院、软件学院、网络空间安全学院,,,,,,,,
osm:way:1173057056:poi,POI,南京邮电大学-文科楼,,,,,,,,
osm:way:1173059720:poi,POI,材料科学与工程学院-新大楼,,,,,,,,
osm:way:1281082570:poi,POI,新体育馆,,,,,,,,
osm:way:223859852:poi,POI,收发室,,,,,,,,
osm:way:224896131:poi,POI,南邮仙林三食堂,,,,,,,,
